path,twrp_blob,orangefox_initial_blob,orangefox_port_blob,classification,reason
.github/workflows/build.yml,10cbc6bc007fe8ff95f02ce0bc72d2937f13e73e,8a14efb67c90c1931605be84614c8377caa8752b,7817c5308a3018c4040b074826589b21eacc80c7,CI/herramienta,Validación OrangeFox del commit exacto y artefactos
.github/workflows/port-tests.yml,,,8a2e9fa6bf96ec5ee45716bc1ac92369e63d5dbd,CI/herramienta,Validación OrangeFox del commit exacto y artefactos
.gitignore,1969a41e39eafa01151dcc5941abbeb90a17668e,ada5be316d1a1b062ce6084e17395644e4498952,13e06472ef43cb35dba7404f9b4813d017f785e2,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
Android.bp,517a0167e3ffe8fb2d03fde2130e0608085cfcdf,cee22daa2b027b2cd367cd7a800e7c0e9de988a0,cee22daa2b027b2cd367cd7a800e7c0e9de988a0,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
Android.mk,8b882abb5d09c23a7c4adf1b7f9285f284373f7a,8b882abb5d09c23a7c4adf1b7f9285f284373f7a,8b882abb5d09c23a7c4adf1b7f9285f284373f7a,sin cambios compartido,Identidad de blob Git con la referencia TWRP
AndroidProducts.mk,4f9ae7ac396fb08ff1bf5ea61a77dd8ebd6c1fb1,7d92efc771c53e89bb4ca00360cb854c1079b8fe,7d92efc771c53e89bb4ca00360cb854c1079b8fe,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
BoardConfig.mk,a94a110bdb3911852a927f24f816f13d9ce5616e,d9d28c351a3baebaf9c2d0f23de5c99348c1b8fa,f7208861d6634fed537f06725457efb8c44e8b09,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
CHANGELOG.md,1d728d3ee6061dfc9646d1256935ea645d51405e,,,excluido,"Producto/build TWRP, branding runtime sustituido por TW_DEVICE_VERSION, o configuración crDroid fuera del producto OrangeFox"
README.md,42109ed805716c6285e5220f682a459db048886b,254308c8799fd9032d281c75eac3cdefcc4d5f6a,585bb9c8b6f33813a40d2d457632bcca6084606d,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/Android.mk,,b84bccb9a1c862f89eaa67c0b72761e14fd01067,b84bccb9a1c862f89eaa67c0b72761e14fd01067,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/AndroidProducts.mk,,bb14369b9bfcd0b9ceaccb362e6b4db66843abfe,bb14369b9bfcd0b9ceaccb362e6b4db66843abfe,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/BoardConfig.mk,,bf61c98aff6735210a29dbd96d3e8c452fc43b49,bf61c98aff6735210a29dbd96d3e8c452fc43b49,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/device_nubia_nx733j.mk,,69b10ca7065e22132651f6077695f0d48bdcfc00,69b10ca7065e22132651f6077695f0d48bdcfc00,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/sepolicy/vendor/file_contexts,,46d89a313b29c00a2053b04726d30bbe678cd68a,46d89a313b29c00a2053b04726d30bbe678cd68a,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/sepolicy/vendor/genfs_contexts,,340896166b649d79d7a46b44cf773c3b475d6dd7,340896166b649d79d7a46b44cf773c3b475d6dd7,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/system.prop,,e48ad64ed912e3c3408d0f31be09cf72af42618f,e48ad64ed912e3c3408d0f31be09cf72af42618f,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/vendor.prop,,960ce51cb2917127b686d86077b007b65b826679,960ce51cb2917127b686d86077b007b65b826679,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/vendor/BoardConfigVendor.mk,,cbdbdf7727bb42a2ba1fd24f5e867f82e34d2b39,cbdbdf7727bb42a2ba1fd24f5e867f82e34d2b39,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/vendor/device-vendor.mk,,04b410d1d3a06280c8e0121239a1a36be6315881,04b410d1d3a06280c8e0121239a1a36be6315881,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
crdroid_files/vendor/generate-vendor-mk.sh,,9d9a5603477757ebe4e5e6cd449609fe79cec5a3,9d9a5603477757ebe4e5e6cd449609fe79cec5a3,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
device.mk,1b8b08093254c97666729e0b4a6b80f10dd77e8e,2d9b3b03bd2c818b5cd370db7e095c8a396f2ea4,0e57296a31aa37dc9c5ee8f6145b7a246a5d8c56,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
fstab.qcom,c8f0c5a77bb93653e819c043284f0890ecea9ba9,,c8f0c5a77bb93653e819c043284f0890ecea9ba9,migrado de TWRP,Identidad de blob Git con la referencia TWRP
ofrp_NX733J.mk,,659c43ca3005516961999f99b4c251632d9ff405,659c43ca3005516961999f99b4c251632d9ff405,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
prebuilt/Android.mk,99c5c09e6f8de0853d8357f96823530a42228b4e,71c401192b4f6d8f623f3f1ca4894cf6d7defe2f,99c5c09e6f8de0853d8357f96823530a42228b4e,migrado de TWRP,Identidad de blob Git con la referencia TWRP
prebuilt/dtbo.img,9d2fe5f8a48910b871edb2159084cc0dcea1fea2,,9d2fe5f8a48910b871edb2159084cc0dcea1fea2,migrado de TWRP,Identidad de blob Git con la referencia TWRP
prebuilt/kernel,1e9faf72cbc5f793484548ee625b57cae074f3c3,,1e9faf72cbc5f793484548ee625b57cae074f3c3,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery.fstab,484fa87cc15515a461bb6e055157e6854b814421,ba0c1543cb032f422ec03ef3b75b759913c0cc8a,484fa87cc15515a461bb6e055157e6854b814421,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/data/vendor/touchscreen/fw/goodix_config.cfg,64ede509bcbc1e583405d6a6b0d5b984a2a4e1c1,64ede509bcbc1e583405d6a6b0d5b984a2a4e1c1,64ede509bcbc1e583405d6a6b0d5b984a2a4e1c1,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/data/vendor/touchscreen/fw/goodix_firmware.bin,4fdba25e753beb90d7e83322dab8a4fb6edee067,95bb5ceae7ad185b3140f34506143daaebc1b82c,4fdba25e753beb90d7e83322dab8a4fb6edee067,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/data/vendor/touchscreen/fw/thp_cfg_9916.bin,fc382649ff64880a4f48ea23b49adec82f6b35f1,1ba7162585c16e3b0afb5968264acdbb2356c130,fc382649ff64880a4f48ea23b49adec82f6b35f1,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/init.recovery.qcom.rc,c4f0f570a1bb3414c78ce5ff5dd9d0754179915e,db1a54607f8123e624aff1872d3716a717978164,47edfa71bc537843c48a3b8e624149b6b29a25d7,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
recovery/root/init.recovery.usb.rc,84bcff31396cdfcbdccef7af58e87b077c07d237,bae66a39348608ba97819b3484b2afe4ec9c911c,84bcff31396cdfcbdccef7af58e87b077c07d237,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/init.recovery.wifi.rc,01c7aef0a42f4168e9f7a6a09d3703fa46fd031f,5a7eab56229df84bc94e1c7bc39f4bdfec6c9be8,01c7aef0a42f4168e9f7a6a09d3703fa46fd031f,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/splash.png,700ae10261805e4831c8c6baeafb7408134fe851,fb5ff432eb6ef0ac9c81041d0a319b0f7c31556c,700ae10261805e4831c8c6baeafb7408134fe851,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/bin/busybox,8698dbb2d406f3710b46dfa54dd978c546f7e376,3b53b20bb37afe805765865efea241116d50a813,8698dbb2d406f3710b46dfa54dd978c546f7e376,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/bin/cp-wifi-ko.sh,897f308f9dd679e325570e87d87c880cd7a973ed,897f308f9dd679e325570e87d87c880cd7a973ed,897f308f9dd679e325570e87d87c880cd7a973ed,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/bin/dhcpcd,9289e2fcfbcaf990c4b5e3d0da18f50c51d84d21,f8da94bc86311dd36de73f8b3ce5d68f84d2a406,f8da94bc86311dd36de73f8b3ce5d68f84d2a406,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
recovery/root/system/bin/wpa_cli,19ccea31c6d2b763c3bf9bd0b2b7e698c1805adc,19ccea31c6d2b763c3bf9bd0b2b7e698c1805adc,19ccea31c6d2b763c3bf9bd0b2b7e698c1805adc,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/event-log-tags,d1d5e80b9f1b8e2a225e3198f6c7a3bdda6c9f68,d1d5e80b9f1b8e2a225e3198f6c7a3bdda6c9f68,d1d5e80b9f1b8e2a225e3198f6c7a3bdda6c9f68,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/resolv.conf,1489ff2342bc5c563f9d36d1194733da7aa23775,1489ff2342bc5c563f9d36d1194733da7aa23775,1489ff2342bc5c563f9d36d1194733da7aa23775,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/task_profiles.json,533aa21e2a328c3277eca13d9e823eb37468897b,533aa21e2a328c3277eca13d9e823eb37468897b,533aa21e2a328c3277eca13d9e823eb37468897b,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/twrp.flags,c9a3a2f4bab40585c5186d228c2be1a8c14a59ea,dfc5ddfcc66264c856ee6be305e37352e3e0eac7,c9a3a2f4bab40585c5186d228c2be1a8c14a59ea,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/ueventd.rc,f93a8ec6ddefed0c9073a197fa901080baaba834,f93a8ec6ddefed0c9073a197fa901080baaba834,f93a8ec6ddefed0c9073a197fa901080baaba834,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/vintf/manifest.xml,5c83f1819296f42a3855588e4194c2de614c07a2,5c83f1819296f42a3855588e4194c2de614c07a2,5c83f1819296f42a3855588e4194c2de614c07a2,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/etc/vintf/manifest/nx733j-hals.xml,bfac0fe99f353f7ecfbd9cac70a2065db06e5a2c,,bfac0fe99f353f7ecfbd9cac70a2065db06e5a2c,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/lib64/libcert_parse.wpa_s.so,b94740d5b1c262eac4da67426d86022c953adf26,5ec6e26b6009dd394c5e538e8db43d355a17363c,b94740d5b1c262eac4da67426d86022c953adf26,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/lib64/libexpat.so,c1574f9708734d09b1a3b697fc8e5b5ad1437726,72d3752060246fcb0344c1e48058c2c217883488,c1574f9708734d09b1a3b697fc8e5b5ad1437726,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/system/lib64/libkeystore-engine-wifi-hidl.so,df6f54f19c6490e2d3c191a8a91490fb30196ff0,df6f54f19c6490e2d3c191a8a91490fb30196ff0,df6f54f19c6490e2d3c191a8a91490fb30196ff0,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/system/lib64/libkeystore-wifi-hidl.so,09726b5b00992e1042a2d126b42e625e1117bbe8,3d7c769fb990af9da315bc2e3852f60b7c1855d7,09726b5b00992e1042a2d126b42e625e1117bbe8,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/twrp.flags,cce5b7746363aadcd29e55f0c917c38e55abb9ee,36db47260f215b46ac04bfd559d79ed1455593c3,c9a3a2f4bab40585c5186d228c2be1a8c14a59ea,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
recovery/root/vendor/bin/cnss-daemon,c9d7644af0ec4d8f2704480f3f2699465a962e79,3e2911aa6c4b07844386dc00489dbb98985cbf8a,3e2911aa6c4b07844386dc00489dbb98985cbf8a,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
recovery/root/vendor/bin/hw/android.hardware.boot-service.qti,bebd89a37e0225271642b8d51450c6949913b4ac,bebd89a37e0225271642b8d51450c6949913b4ac,bebd89a37e0225271642b8d51450c6949913b4ac,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/hw/android.hardware.gatekeeper-service-qti,42f1892e72bb33d0f35c52fd5c8ef442172da794,42f1892e72bb33d0f35c52fd5c8ef442172da794,42f1892e72bb33d0f35c52fd5c8ef442172da794,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/hw/android.hardware.health-service.qti,c2d1f5906d39bc9f1bc20300d7128f49e9360270,c2d1f5906d39bc9f1bc20300d7128f49e9360270,c2d1f5906d39bc9f1bc20300d7128f49e9360270,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/hw/android.hardware.security.keymint-service-qti,b4c0a334d723ca4aca018fd8205e85051b1b8c70,b4c0a334d723ca4aca018fd8205e85051b1b8c70,b4c0a334d723ca4aca018fd8205e85051b1b8c70,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/init_nx733j_cpu.sh,f8c08d9abcfb5377737b6e9ce66b13c2776e677a,,f8c08d9abcfb5377737b6e9ce66b13c2776e677a,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/init_nx733j_hardware.sh,c1d59b7d6e89446c0768e3eb369255eddd4b28f4,,c1d59b7d6e89446c0768e3eb369255eddd4b28f4,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/mount_vendor_dlkm.sh,c7525227892517b3dc3194ace7e9a3eb0ce58228,9d184f51f409e1898ecec0eed059735a8099e5a0,c7525227892517b3dc3194ace7e9a3eb0ce58228,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/nx733j-diagnose.sh,e4fbcafd7c7087e8f4013f1334f5f6a114964826,,ff3e7264fb81418cecd4c87787b33faba910ffef,fusión manual,Integración del conocimiento de hardware TWRP y semántica OrangeFox; ver PORT_STATUS.md
recovery/root/vendor/bin/odm_tsc,6915f8fc45d07700cfad9e42e6a7c7ac1ab2d452,6915f8fc45d07700cfad9e42e6a7c7ac1ab2d452,6915f8fc45d07700cfad9e42e6a7c7ac1ab2d452,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/pd-mapper,0adf0b3965a38fb0ad7396fb610461a3fb76ac22,0adf0b3965a38fb0ad7396fb610461a3fb76ac22,0adf0b3965a38fb0ad7396fb610461a3fb76ac22,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/pm-proxy,d3f06e9cc9ae0a0d0606f5daa8eca640c7ad755e,d3f06e9cc9ae0a0d0606f5daa8eca640c7ad755e,d3f06e9cc9ae0a0d0606f5daa8eca640c7ad755e,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/pm-service,df5dc31fc5e130a22a4153a6f73417bdb959698e,df5dc31fc5e130a22a4153a6f73417bdb959698e,df5dc31fc5e130a22a4153a6f73417bdb959698e,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/qrtr-ns,9d29181f2f135b1339f501b5484dd2a80f300ad6,9d29181f2f135b1339f501b5484dd2a80f300ad6,9d29181f2f135b1339f501b5484dd2a80f300ad6,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/qseecomd,ca6d0d79d34e25d6d774c0f10d9c2dbacbfd7508,ca6d0d79d34e25d6d774c0f10d9c2dbacbfd7508,ca6d0d79d34e25d6d774c0f10d9c2dbacbfd7508,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/rmt_storage,0ce3a16dd8ac0d375f951895e5381131b7d22e18,0ce3a16dd8ac0d375f951895e5381131b7d22e18,0ce3a16dd8ac0d375f951895e5381131b7d22e18,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/set_branding.sh,de12e0fdcf4db462b1af3cd9ea4168e199bab028,bf0a052bb9684e041523d2b2217e8ebc778e3b0b,,excluido,"Producto/build TWRP, branding runtime sustituido por TW_DEVICE_VERSION, o configuración crDroid fuera del producto OrangeFox"
recovery/root/vendor/bin/ssgtzd,62706878cf5696cafbfc75083036fb97c4923bb9,62706878cf5696cafbfc75083036fb97c4923bb9,62706878cf5696cafbfc75083036fb97c4923bb9,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/bin/wpa_supplicant,bf6d9b888609b7762c4540f1353a29e613207b34,925cc56fc46b690bde1d79041a9a12f72660826f,925cc56fc46b690bde1d79041a9a12f72660826f,OrangeFox conservado,Integración/producto OrangeFox o configuración heredada sin evidencia de sustitución necesaria
recovery/root/vendor/etc/charger_fw_fstab.qti,87dd4a9f26232a6cb6f611af6eee5a2b16ab7829,1078f13387f8939ef3ca5ed2bea769f27448667c,87dd4a9f26232a6cb6f611af6eee5a2b16ab7829,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/gpfspath_oem_config.xml,6b2e82ac8b82523550ebf5074390f008f3a86ba0,6b2e82ac8b82523550ebf5074390f008f3a86ba0,6b2e82ac8b82523550ebf5074390f008f3a86ba0,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/android.hardware.boot-service.qti.rc,adfd1a2927e9c3a8a1b1279aa4c381f3061cef1d,58a14974577abcf22404f429f74f0ff1b0fc7aec,adfd1a2927e9c3a8a1b1279aa4c381f3061cef1d,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/android.hardware.gatekeeper-service-qti.rc,8890565ce456e4abc156b247f5d99bc6157bdaef,83917386d0ee9914cf11608c31169fd573eae527,8890565ce456e4abc156b247f5d99bc6157bdaef,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/android.hardware.health-service.qti.rc,c0e0a198ef9019698ebbb59893817444e21a882b,e12b426eba77ed334072ec78ce425bcd64f705f3,c0e0a198ef9019698ebbb59893817444e21a882b,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/android.hardware.security.keymint-service-qti.rc,548032fd411b1e98d44473fa91cf2443c324ee17,d0d32332571bcb3206934e960ca947ccc417ab32,548032fd411b1e98d44473fa91cf2443c324ee17,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/qseecomd.rc,880bd4f00673a7e21c67c4428799b1bff882b631,f3132586e8f888d54400427ef49b46c41ce98825,880bd4f00673a7e21c67c4428799b1bff882b631,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/ssgtzd.rc,736e936191d6c4c89a0760f864f27041a18b4426,08ddc6ef52fc7bc94ede171f3a7e1771422eeb2b,736e936191d6c4c89a0760f864f27041a18b4426,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/init/touchscreen_zte.rc,05db6368b2191189b9dd5b95218a9c22ef79d4b2,bee40dee067b26534e8b05addc56456b3078c3bc,05db6368b2191189b9dd5b95218a9c22ef79d4b2,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/ssg/ta_config.json,7202d1a50fdd602b30f880c4a978dcb1b36419a0,2b09ced0621e599396534e4094e648908e3cb3a5,7202d1a50fdd602b30f880c4a978dcb1b36419a0,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/ueventd.rc,b6de4efe59ad47b9ce89d4d79950f401e5bd7311,dd2de323ea1edd5dac76e3e827b323b4cdab73b0,b6de4efe59ad47b9ce89d4d79950f401e5bd7311,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/vintf/manifest.xml,c92b8807e6a90dcb3551afb53b0aa393f860daac,c92b8807e6a90dcb3551afb53b0aa393f860daac,c92b8807e6a90dcb3551afb53b0aa393f860daac,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/vintf/manifest/android.hardware.health-service.qti.xml,1a2ba1a86ca3a7626b8cc1ad15321f633af4825d,1a2ba1a86ca3a7626b8cc1ad15321f633af4825d,1a2ba1a86ca3a7626b8cc1ad15321f633af4825d,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/vintf/manifest/android.hardware.security.keymint-service-qti.xml,b29e4947e0d5b05f323e3fc6eefa009e4755e4d8,b29e4947e0d5b05f323e3fc6eefa009e4755e4d8,b29e4947e0d5b05f323e3fc6eefa009e4755e4d8,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/vintf/manifest/android.hardware.wifi.supplicant.xml,3e0647dd5988de3c0d6fdeb82e0114b7d55b365b,3e0647dd5988de3c0d6fdeb82e0114b7d55b365b,3e0647dd5988de3c0d6fdeb82e0114b7d55b365b,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/vintf/manifest/boot-service.qti.xml,18e5355f37a1e5e6bb5c765f291123366b558185,18e5355f37a1e5e6bb5c765f291123366b558185,18e5355f37a1e5e6bb5c765f291123366b558185,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/wifi/peach_v2/WCNSS_qcom_cfg.ini,cdeb59ad0b0315a91e1a00942f0685d14b220bdb,cdeb59ad0b0315a91e1a00942f0685d14b220bdb,cdeb59ad0b0315a91e1a00942f0685d14b220bdb,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/etc/wifi/wpa_supplicant.conf,b3fbe5f1ae09d19f3b6afff1d4e03f86904f7aae,a1c33af1abaa660478519e5a18adf2eaa900849b,b3fbe5f1ae09d19f3b6afff1d4e03f86904f7aae,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/firmware/haptic_ram.bin,1850df8a15c4fe41070a9ae55f5ce7bef70e5ecf,,1850df8a15c4fe41070a9ae55f5ce7bef70e5ecf,migrado de TWRP,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/firmware/ipa_fws.b00,1208596804b1ebd599a6d2094ede4d6311483b72,1208596804b1ebd599a6d2094ede4d6311483b72,1208596804b1ebd599a6d2094ede4d6311483b72,sin cambios compartido,Identidad de blob Git con la referencia TWRP
recovery/root/vendor/firmware/ipa_fws.b01,bbc4a30a525a83a4a6f22b387c0e479814b2ac1e,bbc4a30a525a83a4a6f22b387c0e479814b2ac1e,bbc4a30a525a83a4a6f22b387c0e479814b2ac1e,sin cambios compartido,Identidad de blob Git con la referencia TWRP
